Name,User,Message,Profile,Age,Character Art,Embed Color,Identity,Known History,Origin,Other Names,Physical Description,Pronouns,Species,Theme
Viola Zabala,59810251750252544,1303062958489866240,e90de037-59ce-466a-b0b1-bb51f6e795f2,20s,https://i.imgur.com/3f9tu3p.jpeg,,The Naïve Visionary,"Born into the lesser nobility family Zabala within Nezmira's rigid hierarchy, Viola led a charmed and privileged life. She was a bright, cheerful, and obedient child, embodying the ideal daughter, never giving her parents reason for disappointment or tears. If she ever made a misstep, she’d quickly confess, seeking absolution with an innocence that only won her more favor. 

This honesty, combined with her privileged upbringing, afforded her a quality of life beyond the reach of most outside Nezzim. Her parents, known for their generosity, even showed kindness to their slaves. A rare quality that led to their reputation as the ""belles of the ball"" as it were. Their halls had no room for talk of rebellion or animosity; all was safe, serene, and far removed from danger. 

That was, until the fires of rebellion began to rage across Nezmira. Viola may be unprepared for the cost of what lies ahead, but she’s determined to help restore the harmony she once knew.","City of Scales, Nezmira",,"Standing at 5'10"" with a slender, serpentine frame, she has a body adorned with smooth white and peach-colored scales, accented by aquamarine markings along her ribs and tail. Her eyes are a striking rose-red, and she typically wears light armor in shades of white and gold, leaving her midriff exposed for a balanced blend of elegance and agility.",She/Her,Nezzim,Optimism
Violet,319372431221587968,1363253242032685312,6e0a0a84-2fc7-42fb-bdc7-05b00937c0b2,30,https://i.imgur.com/7EAmFWh.jpeg,#301934,Speedy Assassin and Neon Protege,"- Carmelita Aneta, codenamed Violet, was adopted by elite assassins after her parents' death and raised by a brutal mentor named Yori.

- Trained to suppress her emotions and become a ruthless killer, Violet harbored resentment toward her mentor.

- She seized the opportunity to betray Yori when a - group of Vignettes was tasked with eliminating her, killing Yori with a single shot.

- Violet was taken in by another Vignette member, who taught her hacking skills in addition to her combat training.

- After connecting with 100G officers, she became a Vignette assassin, eventually rising to become the right-hand woman of a 100G higher-up.

- As per recent events she's fully gone through a Full Makeover! Changing herself via Body Modifications. She now looks more distinguished. Now sporting a more beautiful outfit with a white coat representing her position in 100G. However remnants of her previous style still stand as her purple tips on her hair have now become the color under her hair!",Terra,,"Violet/Carmelita stands at 5'7"", with striking white hair colored with purple on the inside. She wears a sleek white coat over her whitish blue top sporting a more fanciful outfit and somewhat buisness like outfit. Fit for a chieftain of 100G.

Always ready for action, Violet carries two pistols holstered at her sides. Her stylish appearance blends cold professionalism with deadly efficiency.",She/They,Human,Hope
Viridian „Song“ Leafsong,181728942615429122,1312152909471023104,86cd8e65-7dac-4c81-9c19-34951d487367,?,https://i.postimg.cc/jdsNrZwG/IMG-4167.jpg,#008000,Fae Alchemist and Tailor,"Viridian always possessed a gift for transformation—turning one thing into another and crafting beauty as he saw it. So when his corner of the Faerie realm found a connection to a location near Tradefair, it felt natural to establish „The Verdant Thread & Vial“. The shop became a haven where travelers could rest, drink, and smoke while browsing his alchemical creations and finely tailored garments. It was also an effortless way to collect names, thanks, and apologies.

Perhaps it was too easy. Over time, Viridian grew careless. One fateful day, his recklessness cost him dearly: a powerful fey stole his true name. Ensnared by an enchantment, he was left unaware of who had taken it, and even worse, he was rendered incapable of speaking his full name. Now, he goes by the fragments ""Song"" or ""Green"" and devotes himself to the quest of reclaiming what was stolen.","Fae Realm, Kor'tarion",,"On first glance the 6 feet tall Viridian could easily be mistaken for your average layed back human rocking a hippy vibe but the closer you look at him the clearer you can see hints of his fae nature. His long green hair that is braided in some parts turns into plant fibers on some parts, his iconic clothing has slightly moving patterns and his hookah often by his sides changes the color of the smoke coming out.",He/Him,Fae,Freedom
Vista Wynn,181294303622987776,1208452979275866112,567d81b1-72bc-481f-a3a0-a7861fad6bd8,49,https://images-ext-1.discordapp.net/external/VOsA0GcjSP2IoFePTUwiN4l6Q3-Fvn8GjbOuhmJbcKQ/https/i.imgur.com/MliOArG.png,,Card Shark tired of swimming,"Vista took up the role of croupier in one of Tradefair's more seedy gambling dens, in the hopes of fleecing some hotshot, big-name, more-money-than-sense merchants out of their zenit. It's not like they were using it, after all!

After some time, though, she realized that the more frequent customers were those who were already down on their luck, those in deep debt, who had already exhausted most means of recovery and were resorting to the riskier options - shady jobs, gambling, crime.

Vista was already able to bend her own luck when the time called for it. She couldn't change others', not like that. Not the way they needed it.

And when opportunity knocks, she flung the door open. Aboard the Worldhelm, all she wants is to make a decent living. Not necessarily an *honest* one, mind you - old habits die hard - but an above-board one.","Tradefair, Kor'Tarion",,"Vista is 5'3"", weighing 159 lbs. She is always dressed smartly, though her outfit is loose enough to move about comfortably, and so she can have cards up her sleeves - both literal and figurative.
When the chips are down, she has her lucky dealer's visor, which might be a bit more special than just some purple-tinted eye cover...

Art from [very_ito on Twitter](https://twitter.com/very_ito/status/1404052790582792199), edited by Sawzie",She/Her,Human,Aspiration
Vivian Ashblanc,194955560276197377,1343252458524377088,22e979b7-fea3-496b-a7d5-c169d06bf157,27,https://cdn.discordapp.com/attachments/1179610873271177236/1334928500221546536/Alt_sky.png?ex=67bbfa4c&is=67baa8cc&hm=10a17f17816fda5ba8c24c9f2988b71a47bce380efa9e1b0cb19f540f5f1a4aa&,#0b162e,The Raven Seeking Reckoning,"Born to the Ashblancs in Dryholde, Vivian lived her life happily betrothed to Ronan Ashwynd. Hunters of the night, trained, tempered, ready to fight alongside the Ashwynds against the monsters that would bring ruin to the pockets of humanity across Kor'tarion. All that was changed when Ronan was cast out, Vivian nearly killed by a Moonshard monster as she pursued him, and left infused with ice magic as she was taken home. Sent to Hudal academy to deal with this new curse, she went for years, only for her life to be upended once again at the blood moon. Surviving and fighting off demons, she returned home- only to find Dryholde shattered, house empty, and her family missing.",Kor'tarion,,"Vivian stands at a shorter height of 5'6"", a lean figure draped in lightweight hunting gear of mixed leather and cloth with a black mantle edged with black feathers over her shoulders. A feather pendant rests perpetually over her chest, tied with old leather. Pigment seems to be lost in a patch on the right side of her face and on other parts of her body, turning her right eye a smoky grey and interspersing her hair with locks of white with patches of skin a pallid white. Her unaffected eye is an inky black, and her hair is dark brown.",She/Her,Human,Belonging
Vuk Yekno,137725081412435968,1173778135930638336,c613bdb4-d2dd-4443-b1df-11bae75c2e08,36,https://images-ext-1.discordapp.net/external/6DwCv9Xudkr-LMJ3zTr7lXxGwMDImYot20sORWri-9w/https/i.pinimg.com/736x/f6/bc/22/f6bc223512905f16be02f5e82ca790ce.jpg,,"Vuk, The Red Hot Mercenary","Born in The Scalefire Empire never knowing his mother or father, Vuk has lived his life seeking friends and family. Only thing he knows about his parents is one of them most have been an elemental. His dark red hue scales that always seem to be admitting heat from his body that burns red hot when near any fire source or when overexcited. With people seeing his,  he was seen as an asset for harsh environments that other's may not be able to deal with. With the harsh life that comes with  living/going outside the Empire walls Vuk has had to train and be as tough as possible. At a young age Vuk joined up  with guards, soldiers and mercenaries to gain experience in combat and working as a unit to protect the people he calls family.  With his training he has vowed to protect and see to it that young kids have a bright and happy future. Vuk wants to see kids  have a better childhood than he had going to great lengths seeing to it. Vuk travels the world helping who he can.",The Realm of Nezmira,,"Vuk comes in at an immense 7ft 4in, weighing 457 pounds with a dark red hue coming off  his dark green scales and white underbelly. His bright red eyes that that seem to have a fire  burning in them have people avoiding eye contact. People take one look at Vuk and see a massive,  scary and intimidating fellow. Anytime he opens his mouth to talk or eat you can see a small white cloud of smoke leave his mouth. His temper sometimes gets the better of him as he is  impatient and makes snappy judgments. You will never see Vuk without a cigar, even well sleeping.",He/Him,Lizardman (Croc-Man),Duty
Wanderer,995827045017862224,1316557911584931840,a0dfa97d-e110-4eb6-83c1-d7b5430068a4,18,https://i.pinimg.com/736x/e1/4e/31/e14e31dac865ebd705f551a3f0d3c6e4.jpg,,Wandering Paladin who believes in Good,"Not alot is known about Wanderer's history, all people know is that he was there on the Night of the Red sky, presumably helping escapee's, he's been wandering ever since and keeps a Paladin book as well as a note book to keep journal entries","Dryholde, Kor'Tarion",,"a 6'4 strongly built 18 year old man with a combat tunic with plates on it, as well as a basic bronze sword with a beautiful runic shield",He/Him,Human,Hope
"Waylen Karson, AKA ""Millenium""",413926319886303233,1324991607879237632,b03fd3e1-0831-4aae-a61b-2f76859e7bf7,23,https://i.pinimg.com/736x/e5/b4/75/e5b47580910e946e40a6c1a6c00bf5b0.jpg,,Masked Hero with a Heart of Gold,"Growing up in North Rock, Waylen never knew his mother, who had died when he was very young. His father did his best to take care of him. Through school and his starting job at a tech startup, Waylen's father was always there for him. But it wouldn't last. One day, his father went missing, and he took it upon himself to investigate.

He never found his father. But in the process, he found out about everything his father had done for him and his mother. The medical bills, the unpaid loans. None of it was good. And all of it pointed to a part of society in Terra that sickened Waylen. The corps would never truly help. And when they don't, many go to the gangs. And all that does is drag people further down. So, once again, he took it upon himself to set things right. He took the prototype device the startup was working on, a device to produce a suit of tech armor with enhanced abilities. He quit, and took up his mantle of Millenium, protector of the people, a masked hero","North Rock, Haven, Terra",,"Dark skin, black hair, golden eyes, and angular features, Waylen's looks apparently take after his mother. Standing at 6'1"", athletic, and about 55kg, he physically takes after his father. Clothes tend to fit him well, if a little loose, though they never hang off of his frame. He tends to wear casual clothes, but he has some fancier outfits if he needs them.

With his Driver activated, Millenium wears a suit of purple tech-armor over black and dark blue synth-fabric, and a helm with wolf-ish angles and fiery electronics. The Driver itself has three coin slots, arranged diagonally from his right side down to his left.",He/Him,Human,Justice
Web,319947219463569410,1336795004722614272,6ee717ca-3b10-4be7-80e3-d1bd13a310fa,58,https://i.imgur.com/nBl8Jk9.png,,Forsaken Wanderer,"Though she was born in the Winter Court of Kor'Tarion's Fae Realm, and subsequently left before coming aboard the Worldhelm, Web has yet to speak openly about how this came about.","Kor'Tarion - Fae Realm, Winter Court",,"A lithely built elf of average height, Web is often seen with a disinterest gaze on her face. Her violet eyes are often hidden under a snow white fringe, the rest of her long hair kept in a long single braid that reaches down to her waist. 

Most of the time she can be seen wearing dark clothes, favouring blacks and dark purples or blues. While she wears different styles, she generally favours looser clothing, and universally abhors sleeves.",She/They,Elf,Discovery
Wen Tian,384371410576998401,1349567582570545152,8a0ebe7e-0bbe-49ab-866c-8567839e9f50,18,https://i.imgur.com/58gRZ8H.jpeg,,Last Student of Forgotten Teachings,"There's not much to say about Wen Tian. He grew up poor on the fringes of Xiaohai, got lucky and learned from a master, and now he's on his way up in the world! Or, so he says at least...","Xiaohai, Tian Yin",,"Wen Tian is a young man of average stature, standing at around 5'9'', with medium-ish length blue hair and a slightly tanned skin.",He/Him,Human,Ascension
Whispers,310000719233155072,1248057024667717632,d79271e6-be75-46d3-9966-1c047380b6c4,72,https://cdn.discordapp.com/attachments/1196744996410380298/1247569724930396201/2d295d465087176630710f9193d611ec.jpg?ex=6661d2d9&is=66608159&hm=62d958c6af1ec1bca11d2f513e07a1dc5f6a03136b029fa18f5b28f50dad388d&,,Lastport's Familiar Voice,"As rumors around lastport say. 'Whispers ring out in times of uncertainty, like an old friend. Listen to the voices and it'll all come true.'","Lastport, Kor'Tarion",,"Varies per account, with a constant of eyes veiled in one way or another, flowy clothing and  a broken mirror held in hand.",Whatever you wish~,Shh.....,Truth
Wilhelm Bergmann,206900071055228930,1362546836686114816,237f9a7f-f6db-4b80-8fcc-785e30d74aaa,58,https://i.imgur.com/noJHnic.png,,Molten-blooded Foreman,"A mining foreman who was born and raised in Constance, Wilhelm Bergmann has had a long career on the slopes of the Iron Mountains. His childhood was unremarkable, and he went to work in the mines as soon as he was of working age. 

A hard worker with a notable affinity for engineering, often repairing mining equipment out in the field, he even rescued a fellow miner from a natural gas explosion despite being burned himself.

Promoted to the role of foreman, the mine under Wilhelm's supervision was targeted by Merrani saboteurs seeking to disrupt Constance's resources. The mine's distance from the city led to longer response times from the KPLA, and a Merrani mech managed to enter the mines. To protect his workers, Wilhelm lured the mech into an isolated passage before causing a cave-in, sealing them both.

Unwilling to die, Wilhelm salvaged the mech and an industrial mining rig, crafting his own mech, the Killborer. Burrowing to the surface, Wilhelm vowed to enact vengeance on Merrane.","Constance, Lhodos",,"An older man with a mean expression and a large mustache. His face and upper body are marred with burn scars. 

His attire is that of a common worker from Karlsgard and his equipment consists of a rugged revolver and an unusually intricate mining drill.",He/Him,Human,Retribution
Winter,224933184926646272,1236315051518853120,eb1ba3ed-3e61-4c99-b4c5-42d48f220562,27,https://media.discordapp.net/attachments/619597820588064770/1236314695884083366/b963ad7f4c15fa4098d95ea5706f8b8c.jpg?ex=663b83c9&is=663a3249&hm=78977338f0b5e53a796c0a4bd6fda8a6b51b60bd3ee78148df7cf30e5ff6ae50&,,"Reformed Bandit, Future Knight","A bandit from the High Pass in Aldistir, a part of the Wisp Winds, Winter has committed many crimes in the interest of survival. Her bandit clan are dangerous and unforgiving, taking lives quickly with no remorse. Winter, however, grew to hate this. Having her humanity showing through and finally committed to leaving late during the night at the height of winter, hoping for some method of reprieve or to prove she was more than her past. This has lead her to the Worldhelm, and she sees this as a chance to earn her attonement for the many crimes committed.","High Pass, Aldistir",,"A 5'6"" tall minotaur with fluffy legs and a cow's tail in a reddish brown matching her hair. Has large horns and a muscular build.",She/Her,Oni (Minotaur),Forgiveness
Wyrt,306223332653793283,1173783302352674816,e19ac1ac-7575-415c-9508-012dc24aa7ec,28?,https://media.discordapp.net/attachments/651183669503066129/1173134841911443476/71e4a59f5edca918497455237c438f25.png?ex=663b0ff6&is=6639be76&hm=aea0859fcebabec237f5b1da960e81dd68eed3c578f61fc179b8c477df36a73d&,,"Plant Boy asking ""Why People?""","The likeness of this man has perhaps been seen in drawings along wanted posters, labeled criminal as one who assaulted lizardmen of The Bluescale Empire. He's moved to avoid such attention, favoring to do tasks of varying difficulty, from fighting to kitten saving. The only payment Wyrt asks is a few questions.. and money, I mean you need that to get around.","The Blue Scale Empire, The Realm of Nezmira",,"Wyrt stands around 5 foot 8 inches, maybe 5 foot 6 and a half if you don't count the hat. Sized up at 186 pounds, the heavy clothes and wide brim hat obscure his features sans the eyes, which do carry a small light with them. His physical expressions are exaggerated to help make up the lace of facial tells.",He/Him/It,Human? (Plant),Care
Xentrithia Mira Dregravor,409390729627041792,1254811059475316736,aa168337-448c-43de-bbf8-0c839c3aa758,"physical age seems to be around 35
she forgot her actual birthday",https://media.discordapp.net/attachments/1189280923062116483/1189282624682872832/whcharaction.png?ex=663b2401&is=6639d281&hm=5b355599354eb717c8ad359c72118720e55f82805e1d2e122797466771bf3e8f&,,Curseborn Apex,Ex soldier that had been cut off from her expedition party having been forced to survive in the woods as a monster herself for an unsure amount of time. Others of her squad think she is KIA.,Kor´tarion,,"Definetly on the larger side with a size of 2 meters something, she is also on the heavier side not just because her height but the mutations her corruption she suffered which mainly also affected her height having tried to transform her into a large predator of the woods but having failed.",She/Her,Human (corrupted),Defiance
Xing Wei,413926319886303233,1361082824219955200,87036c2f-39a9-4911-86f9-3357a71814b1,21,https://i.imgur.com/scoIZHX.png,,Hero Who Has Mastered His Rage,"At a young age, Xing Wei and his family were shunned from their village because of his powerful connection to demonic qi, afraid he would one day develop into a corrupt cultivator. But that never happened. All it did was alienate them, and prevent anyone from helping when his parents were killed in their home by a vengeful tengu. That was the first bit of real demonic qi he cultivated, and it is when he swore vengeance against all yokai and the cultivators that allow them to exist. He began to scavenge battlefields to cultivate, careful to avoid falling prey to the ease of corrupt cultivation. Slowly, he builds his power to fight against the yokai and the corrupted cultivators, and to protect the lost and the weak. However, even after all this time, he is still haunted by the shame and powerlessness he felt that first night.","Yotsuya Village, Stained Forests, Teisei, Tian Yin",,"5'10"", powerful, and a little intimidating with his facial scars, and demon-aesthetic arms and armor, though some of his muscles are partially hidden beneath the yellows, greys, and browns of his second-hand robes. He has olive green eyes and long, dark hair he ties up, but a decent amount still falls in his eyes. Recent events have taught him mastery of the rage within him.",He/Him,Human Cultivator,Hunger
Yarrow Cheung,358730095130705920,1336563524830363648,5b91012c-fd78-4c85-8a4b-b19d32aac932,36,https://f2.toyhou.se/file/f2-toyhou-se/images/95235480_cmeonVSlR0PAjvs.jpg?1738731423,,Born-Again Mercenary,"Over years and decades, Yarrow Cheung built up a reputation as a reliable officer, bodyguard, mercenary, and employee in 100G. She put her heart and soul into her work, patrolling the city and guarding the powerful, whatever the cost. She built up her fair share of collateral damage along the way. But for so long, she tried to justify the blood on her hands by telling herself it was all in the name of protecting the people and preserving order. And besides: it was either keep doing this or risk poverty and destitution once more. 
Then, in a confrontation, she was seriously injured. Near death and unable to do her job, she found herself having to ponder the consequences of everything she’s done over the years.
She wants to do better. She has to do better. There’s got to be more to her life than being a hired gun until the next shot doesn’t miss.","Silver Rock, Haven, Terra",,"A muscular, lean woman with a bleached-blonde buzz cut, tan skin, and narrow, dark blue eyes. Standing at about 5'10, her most defining feature is a series of burn scars that occupy most of the upper right side of her body. She typically wears casual attire, with compartments, belts, and pockets attached for anything she needs to bring with her at a moment's notice. The two things she consistently wears are the jacket she's had since she was a teenager and a sword  on her waist, always readied for combat.",She/Her/Hers,Human,Redemption
Yin Yue,59810251750252544,1341459364833136896,10ea40cc-247c-48d3-9d05-c5d548d4549d,30,https://i.imgur.com/XYeh8SY.png,,The Jade Songstress,"Raised in the **Jade Bloom Pavilion** of **Xuanwu City**, Yin Yue grew up in a sanctuary of music and culture, guided by her renowned mother, **Yin Mei**, who taught her to cultivate through song rather than rigid forms. As a Bishi’e, she possessed an innate talent for harmonizing with the Dao, shaping the elements and fortifying herself through melody. 

Though sheltered within the Pavilion’s **Heavenly Blossom Theatre**, she could not ignore the corruption that tainted the city, where powerful sects practiced ruthless cultivation and mortals toiled in the blood mines. Yearning to restore harmony while forging her own legend, Yin Yue set out beyond her homeland, her voice not only a weapon but a promise. To bring balance back to a fractured world and leave behind a song that would be remembered for generations.","Xuanwu City, Wujing Guo, Tian Yin",,"A woman with sun-kissed skin, her gaze is captivating. Light green horns emerge gracefully from her forehead, while two larger horns curve just past her temples. Her dark teal hair cascades around her, complementing the flowing attire of a traveling performer. Yet, it’s her eyes that demand attention. Expressive, enchanting, and filled with the allure of someone who knows the world is her stage.",She/Her,"Shibing, Bishi'e",Glory
Yorick Medraut,247940619022893065,1177543403643351040,fce392c0-bdae-4030-a5dd-48db2b50abfb,23,https://media.discordapp.net/attachments/1170110564819816468/1177541933355237376/Illustration2.png?ex=663b4662&is=6639f4e2&hm=ed1aafe26776a8b64f27cd051c972b35d9f79311df872b37ec2594c0deadd761&,,Pale Maelstrom of Skuala,"The Pale Maelstrom. A title known to those who frequent the human populated slums of Skuala, the largest coastal city in Nezmira, and the regions melting pot. A white haired man in colorful clothing who uses a children's toy made from the shells of Kiir to protect the people of the city. He's a bit of a vigilante, relishing in those both knowing his name, and singing his praise. He's well known for being a show off, and making a point to let his cutting words take the stage as much as his fighting ability.","Skuala, Nezmira",,"Yorick is a 6'4'' well built man, who wears simple gear and baggy pants. He's about 200 pounds, and is rarely seen without his bandalore.",He/Him,Human,Vanity
Yorik Unfrid,444194335492276225,1241574902293729280,43a06f10-0a6c-4801-8be0-4686110663f5,25,https://media.discordapp.net/attachments/1170110980546637915/1241541009968463942/image.png?ex=664a92ab&is=6649412b&hm=2af0a5ab6f981762e1877afb94433f7aa81c229ca9a253f294455e60d77020b0&=&format=webp&quality=lossless,,"Warrior Poet, Seeking Justice","A worshipper of Vanagandr alongside his sister, Astrid, Yorik started life as a hunter. Channelling his ferocity and hatred into his hunts to cleave beast and yokai in twain and claim his bounty in response. One day, he was challenged to kill a powerful Oni at the top of the twin peaks, a worshiper of Nimue named Yosuke. The two met and fought for days and nights until the mighty Yosuke fell under Yorik's blade. Yorik claimed his sword and his heart as treasure, but was overwhelmed with a vision. Nimue, having lost a good warrior, bestowed a vision onto Yorik. The vision was of death, destruction, despair... But also of hope, and a golden airship. It was up to Yorik to decide what he would do, but in his heart he had already made up his mind. He would atone, and bring peace to Aldistir. And once he was done, all the realms.","Twin Peaks, Aldistir",,"6'5 wall of muscle with gorgeous long blonde hair. He often wears furs and leathers of slain beasts, the most striking being one of a large bear-like beast. His skin is littered with tattoos",He/Him,Ald (Human),Harmony
Yoyoy,206900071055228930,1328565165943296000,e038fb5a-68bf-488e-b5bb-953faff4ba39,75,https://i.pinimg.com/736x/80/3f/52/803f525be62ab4926e93eb3b3429cd10.jpg,,A Broken Man Retracing his Steps,"Until recently, Yoyoy's story was an ordinary one. Raised under the tutelage of a reputable teacher, he spent decades training until he had disciples of his own. Taking up residence in the mountains south of the Tikba rainforest, Yoyoy spent several more decades cultivating while guiding any who sought his wisdom.

Yoyoy's path eventually took a sharp turn as his residence was set ablaze by a sect of Defilers who took advantage of the chaos to capture Yoyoy and his disciples. The intense flames and the panic that beset Yoyoy triggered Qi deviation, rendering him powerless to aid his disciples as they were taken into Land of the Defiled to be used as sacrifices.

As they were dragged through the desolate sands of the Land of the Defiled, Yoyoy's disciples sacrificed themselves to create a window of opportunity for their master to escape. He fled, walking through the lifeless desert for days until his body failed. He collapsed, stricken with hunger and shame as the Worldhelm claimed him.","Amihan, Sangang-Daan, Tian Yin",,"Standing at 5'6"", Yoyoy's body is emaciated and his skin has an almost rotten pallor as his own poisonous Qi runs amok due to deviation. Less than a dozen hairs cling desperately to his scalp, and his facial features are sunken in. His eyes are clouded with a red haze that glows dimly.

His belongings are limited to a well-worn robe and a thick rope belt, as well as a wooden staff which doubles as a walking stick.",He/Him,Human,Shame
Yui Kiddo,1215044244763582514,1324820892655812864,2e74656f-3589-4a72-b6fc-4f366a7ce7fa,20,https://i.imgur.com/HdUMgaQ.png,,Delinquent Detective,"Before she was even in middle school Yui was already in deep shit. Her deadbeat dad would sometimes send money home but she never saw him. She was instead raised by her mother who always had a tough time with the law. But that relationship ended when Yui's mom was framed for murder by a corrupt private security group in order to save a high ranking CEO. Being the daughter of a convicted felon doesn't really bring in a lot of social credit.

From there, Yui has only had one purpose in life, sticking it to the corporate overlords in any way that she could. At first it was self serving; anger and violence, lashing out at those in power. But eventually Yui started standing up for those victimized by the system. She became known as a tough private investigator who would help anyone down on their luck, be they man or monster; so much so that Saki started to become something of a heroic but flawed figure to marginalized groups.",Secura - Terra,,"Yui has done everything she can to get away from being perceived as cute. Primarily this consists of body mods to make her teeth sharp with tusks that jut from the lower jaw, horns on her head, and red skin to make her look more a monster than a human. However she also carries herself with a tough no nonsense sort of attitude, standing at an impressive 6'1"" and  giving off a cool defiance to anyone who deals with her. She keeps her hair chopped short and dyed in an androgynous way.  

Even through all the toughness she still likes to appear somewhat feminine, she prefers dresses, and can often be seen wearing feminine accessories. Though she draws attention away from them with tougher looking clothing like, belts, chains, and leather. Despite the façade, she can't always hide her gentler side, she sometimes lights up when she sees something she finds cute, though these moments are brief.",She/They,Human with Oni Body Mods,Anger
Yukari (縁),886623433306288158,1349529831859027968,0ae0c147-c20f-4b2d-8c62-8ee4507ed746,18,https://i.imgur.com/tH36WDF.png,,Waylost Trickster Fox,"Young, freedom-loving, and irreverent, Yukari was raised from a kit to protect her village's shrine from the Alds that roamed the forest. However, when she met one such raider-- a young lad named Jesper, wounded and lost-- she did not slay him on the spot. Instead, they would meet again and again over the next few moons, growing ever closer.

One day, she took him to the village in secret, to show him her favorite spot overlooking the shrine. The next, raiders were at their doorstep, Jesper among their number. There was pain in his expression. There was more of it in Yukari's heart.

The raiders were defeated, at great cost. Jesper fled. And Yukari, for her treason, was exiled, to wander the snowfields alone.

Two years later, believing in the Sunfire Citadel's promise of peace was a convenient lie to get a roof over her head. At least that's what she told herself. But when Ragnarok came, and she had the chance to flee... She didn't. And something in her heart changed that day.","Hidden Lights Village, Aldistir",,"Standing a humble foot from paw to shoulder, Yukari is a white-furred arctic fox with blue-gray accents in her coat, adorned with a blue and violet shawl and an assortment of paper charms. Her eyes are a piercing magenta, and she bears an ever-present smirk that gives the air of someone who knows something you don't.",She/Her,Yokai,Connection
Yuki-Na,322198528975962112,1223271957147942912,294b4932-b327-4a67-b545-fbd40788e9ab,100+,https://media.discordapp.net/attachments/1023826663429132308/1222623689770795129/IMG_1407.jpg?ex=663b254a&is=6639d3ca&hm=23d14b9b2b04fdef88f96fb71381d18d750e68dcc373f925f3d3d407d2a430df&,,Verdant Guide of Lorelei,"Yuki-Na, like most yokai, grew up a follower of Kuzunoha; an impersonal bond to the ""mother"" of yokai at best. Blessed with deep ties to the land around her, she lived a peaceful (for Aldistir) life of relative seclusion within the Farwood.
Such peace was broken some 60-70 years ago, when the darkened sky alit with fire and acrid smoke. A band of Alds, intent to push back against the local yokai in the name of Vanagandr, invaded the forest. Cornered between flashing steel and walls of flame, Yuki-Na found herself suddenly among the Sea of Blizzards. It was Lorelei, not Kuzunoha, who came to her aid in time of need, the aesir revealing herself to Yuki-Na.
From that point, her allegiances changed, and a goal was obtained; she would be a guide through the blistering snow of that other world, to lead others who wish for no part in the endless feud between Kuzunoha and Vanagandr.",Farwood (Aldistir),,"Standing at 7’3” to the top of her head, and upwards of 9’ with her ‘horns’, Yuki-Na cuts an imposing figure. 
Somewhat fox-like in appearance, by day her soft white fur flows across her pelt like snowdrifts and down to a long but flat, fluffy tail, while at night, the fur shifts to an onyx black. 
From her head sprouts horn-like tree branches, their appearance shifting with her mood and goals: at times, the branches spring with eternally falling cherry blossoms, while at others, they alight with a ghostly blue fire.","She/Her, They/Them",Yokai,Duty
"Yuna ""Mongrel"" Manami",186680561501339651,1347431664971677696,e587d4f3-d5ab-4a01-abec-9c35258f64ac,23,https://i.imgur.com/0K4gR3c.png,,Operative turned Guinea Pig,"""Mongrel"" has a past covered in black ink. She is a temp worker for E.T.A, that is where most knowledge of her existence ends. She's miles deep in debt and clearly holds no loyalty to the company besides the leash they have her on.  If someone was truly curious they could perhaps dig up her familiarity to a rookie swordsman ""Sparrow"" who was wiped out with her team a long time ago. But, that is only the things E.T.A couldn't have completely eradicated from the database.",Silver Rock - Haven - Terra,Subject E-124,"Yuna is a average 5'5 woman with white hair. Her piercing red eyes are analytical and fierce. Hiding most of her feelings behind a stoic visage. Though this is not to say she is afraid of voicing them to most people. Yuna regularly wears robes passed down from her family, she rarely speaks about the significance of them as she has yet to speak to them since her incident.",(She/Her),Human,Loyalty
Yunalesca,113527988775104512,1312566236156264448,fd1fcdfa-63f1-4147-9999-557417be4f6d,?,https://i.imgur.com/hvYJws6.png,,Cheerful Envoy of Caladarius,"Little is known for now, Yuna is still new to the Worldhelm, she says she comes from a place called Paradise and yet she appeared suddenly before a group of adventures in the depths of hell...","Idyll, Paradise",,"Yuna is a young woman of average height with a lithe, athletic build, suggesting agility and quickness over brute strength. Her complexion is fair, with a healthy, slightly rosy undertone that complements her warm features. Her light auburn hair cascades just past her shoulders in soft waves, framing her face elegantly. Her large, almond-shaped eyes are a captivating shade of soft pink, exuding both warmth and a mischievous glint. She strikes a balance between grace and strength, making her presence both approachable and commanding, as if she’s equally at home in a noble gathering or the shadowy depths of hell itself.",She/Her,Human?,Joy
Yuri Sokolov,168733228914573312,1179309337550798848,1d50eaa6-1e01-4013-b7c4-304b0848c3a1,19,https://images-ext-1.discordapp.net/external/3iHhDrsT3RukZLWlaa0tR96hlVvYHF8HjA_E7nRaduk/https/gbf.wiki/images/b/bf/Nighthound_gran.png,,Tormented Sniper,"Merrani war hounds are given experimental tech at a young age and trained to kill people. Normally, they don't get to see who they kill up close. The magitech war machines and guns allow for that degree of dehumanization. Yuri Sokolov was one such soldier. However, during a sniper duel, he had the misfortune of meeting his target up close, and seeing that it was another boy like him broke Yuri's mind. After deserting the army, Yuri found himself wandering Lhodos, until a Realmstorm brought him to the Worldhelm.","Suntower City, Merrane, Lhodos",,"Yuri Sokolov is tall, sports a lithe frame with short brown hair and brown eyes. He has a state of the art combat attire, and an experimental bow. His demeanor is distant, he clearly has trouble making friends.",he/him,Human,Guilt
