Name,User,Message,Profile,Character Art,Character Bio Link,Character Sheet Link,Class List,Embed Color,Level,Origin,Other Names,Physical Description,Quirks,Rare Equipment,Related Arcana,Story Summary,Theme
Vanigad Ensed,413926319886303233,1365372690432655616,0e84ebd3-b3c5-45df-9ba6-c5498538852b,https://i.imgur.com/6XBeiMR.jpeg,"[Who needs a history, really?](https://discord.com/channels/1169852846083153941/1170111183869706362/1345202942759796777)",[It's a pleasure to meet you ;)](https://docs.google.com/spreadsheets/d/12OLWLHpDeOSc_LhRJgBoIVQcN0ORm4S6RuXY7GhvIFU/edit?usp=sharing),"Arcanist 3
Rogue ★
Empath (Esper) 1
Wayfarer 1",,15,"Forgotten Shrine of the Fallen God, Aldistir",,"A little shorter than average at 5'8"", Vanigad carries himself tall and proud. He has short blonde hair and tends to wear comfortable and well-worn gear suitable for his frozen homeland, though he likes to keep a set of nicer clothing for walking about, and he wears an eyepatch over one eye. His irises seem to shift in the light, so the color is difficult to pin down, but he always has a smile on his face, as if he knows a secret no one else could ever guess.",The Long Dream (3/10),[A Point of Light](https://discord.com/channels/1169852846083153941/1208284413864189993/1329610134858764359),"Vanagandr (previously followed)
Lilith (previously followed after leaving family)
Antikythera (""sole follower"")","- A blizzard blasted across the edge of the world.
- A lone Lilith follower sought shelter, finding what seemed to be a long abandoned shrine to the Fallen God.
- The Lilith follower, in return for using the shrine to outlast the blizzard, rejected his previous life and name.
- He gained power from the Fallen God, but in doing so put an expiration date on himself.
- He also gained a new name: Vanigad.",Mischief
Vanille Kuylenberg,66337541518790656,1359702184974876928,b9f3ff3d-73d1-4245-8aae-6b7b3329aea1,https://images-ext-1.discordapp.net/external/GQiM1rCzPXhrcz0w5fyDXISePl0I0iOBfYiTHAnSUNU/https/i.imgur.com/jtOUyHs.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1309577078320009299,https://docs.google.com/spreadsheets/d/1izcLhBpYw0o4dDSgbZ8c87cM_gXK0WRFOunS6WRbg1g/edit#gid=0,Gourmet 4 / Guardian ★ / Weaponmaster ★/ Fury 1,#d7ba9e,25,"Dryholde, Kor'tarion",,"Vanille is a somewhat petite woman, who would only be about 5'2"" if she could stand. She has no use of her legs and so is always found in a wheelchair, either a ruggedized one for adventuring or a more basic one for more domestic affairs. Despite her disability, however, she maintains a strong physique, displaying lean muscles in her arms and upper body, though these are usually covered by her modest clothing.",,,,See bio.,Vengeance
Ven & Vid,181294303622987776,1345118508131815424,e4fe13cf-25a3-4c32-af22-c8930c8855b6,https://i.imgur.com/wq0UAj8.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1245557030933237802,[ooooh they spoopy](https://docs.google.com/spreadsheets/d/1szf2gh8LZZU-IW3EV2K-PiEL-QVHA0OF7clBoB02yHM/edit?gid=0#gid=0),"Necromancer 4
Wayfarer 4
Chimerist 3",#20262d,10,"Sansarko Saas, Leytik, Tian Yin",,"Ven is 6'0"", weighing 136 lbs. They seem to be frequently tired, though they frequently look around to gauge their surroundings.

Vid is a small, dark sphere with a single yellow light in the center. It seldom leaves Ven's side, floating around them and acting as their form of speech.","Idyllic Soul
Technically dead, doesn't deal well with loud sounds.",,,"* The result of two great warriors - a demon named Cogitav, and an Empty Monk named Ergo Nonsum - clashing, with Ergo turning Cogitav's soul-rending against it.
* Both of their souls, and all of the collected souls within Cogitav, merged and mixed in a massive maelstrom as it went to Idyll.
* After a century of struggling to take form and passively absorbing souls surround it, the mass eventually congealed into the forms of Ven and Vid.
* This new gestalt soul has only lingering memories of who - and what - it was before this incident. It also hardly has knowledge of what it is to even be alive.
* Held together by force of will and curiosity, this new pair of bodies wanders to find out what life is about, and what its own unlife is for.",Curiosity
Verdugo,889392035092652052,1245601115287064576,a8b5d957-d7c9-44f1-b295-f7802e916e2e,https://media.discordapp.net/attachments/889392991096148008/1242011706637418536/image.png?ex=6658cf4a&is=66577dca&hm=a11831835dffa1e1ee6af8913c13353a45223cc95dd0943052e5f65d69e85ea1&=&format=webp&quality=lossless&width=&height=,,https://docs.google.com/spreadsheets/d/1hhyfm2YQASgnl8eelsRH1Oy10UgVU4chP2-DpgMwnRQ/edit#gid=0,"Loremaster, Weaponmaster, Elementalist",,5,"Merrane, Lhodos",,"5' 10"" with a split aesthetic the white and gold representing the ""good"" side of justice such as returning stolen goods to their original owner, but the red and black side to represent the ""dark"" side of justice such as carrying out a death sentence for a known killer. with more loose or comfortable clothing his movements are relatively unrestricted",,,,,Justice
Verge Forrester,237438769840652291,1360752408288035072,31d55e0b-377e-41da-93fa-495f644cf10d,https://i.imgur.com/cXbFqpO.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1322680752391061587,https://docs.google.com/spreadsheets/d/12ZoXjlbvReHZqIBvClKYkiHts7GVlXy0bUUdbWuK1FY/edit?gid=0#gid=0,"Mutant ★
Chimerist 2
Guardian 1",#2E0933,13,"Secura, Terra",,"Verge is a tall, dark-haired humanoid with pale skin and red eyes.  Her limbs and a portion of her face and torso are covered in dark purple scales.  Her hands and feet end in sharp black claws.  Her most obvious feature is a massive second set of limbs that grow from her back which she can morph into different appendages.  She wears a sleeveless bodysuit under a black trenchcoat.  Verge has a calm and unintentionally menacing demeanor.","Fugitive Experiment
When a rule or ability requires you to spend 100 or fewer Hit Points, Mind Points, or
Inventory Points, you may suffer 1d8 Instability Points to ignore that cost.
At the end of each session (approximately four hours of play), you lose 1d6 Instability
Points (to a minimum of zero).
If your Instability Points ever reach 10 or more, you are immediately reduced to 0 Hit
Points and must Surrender. The consequences of this Surrender should be closely tied
to you losing control of your abilities. Then, you lose all Instability Points.",,,"-Created in a lab
-sold to T&C
-tortured and experimented on
-escapes to worldhelm
-On mission, learns she has a sister
-recaptured but her and her sister are rescued",Family
Vespa,135262899844284416,1359443959532883968,f74ea786-4f0c-40ed-8211-56cc671d6397,https://i.imgur.com/HBYp9uv.jpg,https://discord.com/channels/1169852846083153941/1170111183869706362/1356265434495713483,https://docs.google.com/spreadsheets/d/1--tS9CcWs-P2_X1oVEqoTDosRdzrrJHq4kiaf_9XPa0/edit?usp=sharing,"Loremaster 1, Wayfarer 3, Merchant 3",,7,"Windhaven, Nezmira",,"Hair: Curly Brown
Eyes: Blue
Skin: Freckled & Sunkissed
Height: 5'7""

A woman of average build usually sporting a collared shirt and bracers attached to well worn pants tucked into boots.",,,,"Grew up and orphan, spends most of her time on expeditions and fought in the rebellion.",Discovery
Vigo Mortenkaisen,491765200727310337,1220404432676720640,8dfd5c56-bf23-494b-be38-3372d3d59716,https://media.discordapp.net/attachments/963487842930130975/1218603978082750464/07998d26494b88ed3b3b1a5697315270.png?ex=663b0624&is=6639b4a4&hm=97ff6a6f61ec8b5005b940d5b909bb1505e33080d49337d2b93872df5e19e47b&,,https://docs.google.com/spreadsheets/d/14WT_xGbIitodGO6Gg-NvyihqJ4w1QbQtFxuQl7d0XQk/edit?usp=sharing,"Commander 3
Weaponmaster 3",,6,"Brightshield, Kor'Tarion",,"Vigo is 5'10"", with black hair and blue eyes. She has a slim frame, but that misleads from the years of built muscle. Often times she can be found wearing her military uniform (as pictured in her art), and carrying her sword.",,,,,Ambition
Vik (Vicorous) Aracar,777209819865284620,1341453417268117504,f8b588a8-65ca-4a2a-b4d9-683fb0328510,https://i.pinimg.com/736x/23/36/bf/2336bf2a42397ff47ac72dfb61830102.jpg,,"[We're all skilled in different ways, focus on your strengths and you'll do fine. Welcome to the Worldhelm.](<https://docs.google.com/spreadsheets/d/10ksh65o-Y1Vir5y39xp3Dj0ZFXsJIuKsyyBHbpHgD8o/edit?usp=sharing>)","Merchant -- 6
Tinker -- 5
Symbolist -- 2",#673AB7,13,"Sixten Camp, Aldistir",,"Vik has a medium build but broader frame at 6'2 (short for an Ald) and has slightly messy long white hair. They generally travel light with a flowy outfit to show off their multitude of tattoos spanning his body. His smile is usually noticeably small but his eyes are approving, offering his support with a stern face. This merchant sports a heavy crossbow across their back with faint orange runes carved into it and always walks with the sound of clinking potions in their bag.","Heirloom -- Scorch the Crossbow
- Side effects include overheating, dizziness, muscle weakness, fainting, and an occasional firey explosion","Scorch (a multi[2], +1, fire crossbow)
Aegis Gorgonis (poison resist)",,"- Grew up living as a tattoo (symbolism) artist in Aldistir that helped hunt Draugr
- Marksman father gifted him a magic crossbow he stole from a mage
- Father died after the mage found him and depressed Vik storms off to the Worldhelm
- Used to rely on symbols, but now uses potions in combat ever since learning how much he lacks in training
  - Support/Healer to give others the strength he doesn't have",Empowerment
Viola Zabala,59810251750252544,1306490301552136192,cd522fa1-4d61-4b5b-a3bd-84ae488553ad,https://i.imgur.com/3f9tu3p.jpeg,,https://docs.google.com/spreadsheets/d/1tFmlnJrF1JPHd4LhWEsMpI08EQ-QY5K_oMRtcN5_LYg/edit?usp=sharing,"Sharpshooter 3
Darkblade 1
Guardian 1",,5,"City of Scales, Nezmira",,"Standing at 5'10"" with a slender, serpentine frame, she has a body adorned with smooth white and peach-colored scales, accented by aquamarine markings along her ribs and tail. Her eyes are a striking rose-red, and she has Ruby Red horns. She typically wears light armor in shades of white and gold, leaving her midriff exposed for a balanced blend of elegance and agility.",,,,,Optimism
Vista Wynn,181294303622987776,1365128747526918144,7f87924f-026d-4c0f-a406-1e712387f55c,https://i.imgur.com/cCAETgu.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1208452979275866213,[heeheehoohoo markdown go brr](https://docs.google.com/spreadsheets/d/1dswsx8Mjo-hNBPnZVlFWsJqXDj6-AUTpU69wCekkhUQ/edit?gid=0#gid=0),"Ace of Cards ★, Elementalist ★, Entropist 9, Chimerist 1",#ad78bf,30,"Tradefair, Kor'Tarion",,"Vista is 5'3"", weighing 159 lbs, dressed to the sevens. It's like being dressed to the nines, but not *that* fancy.",,"Moonlight Card Sleeves - Offensive spells **slow** the target.
Glitter and Gold - Spells that target a **slowed** enemy cost half as much.
Wavecrash Waistcoat - Damage dealt to **slowed** targets ignores Resistances.
Drained Spirits - When recovering MP, you recover 5 extra MP.",,"* Was sired as a result of a deal with the Star-Eyed Stranger - one of those ""give you great power in exchange for your firstborn"" kind of deals. Upon taking the deal, Vista's human parent went ""okay, so when do we start?""
* Grew up as an adoptee of a mob/mafia kind of deal. Used for her innate tychokinesis - manipulation of luck. Got herself out when she was young.
* Went to Tradesfair to be a dealer at a shady gambling den, with the intent of scamming rich fucks out of their money. Not many of those types show up at the place she worked at - she found she was just taking from those who didn't have much money to begin with.
* Leapt at the opportunity to do something better with herself.",Aspiration
Vivian Ashblanc,194955560276197377,1361457748071547136,8b624ba4-0594-44d5-8add-d5bf61a6db98,https://cdn.discordapp.com/attachments/1179610873271177236/1334928500221546536/Alt_sky.png?ex=67b3688c&is=67b2170c&hm=b5b35c5bff9118df0a4f1d1726f2cfcda49a993d26f4fea70ff1eb2df218d94c&,https://discordapp.com/channels/1169852846083153941/1170111183869706362/1332430968383864865,https://docs.google.com/spreadsheets/d/1yy-RgtWE5Q-FzUxU4yrvKx01SrmJjByZUmv3qOrD8b0/edit?gid=0#gid=0,"Sharpshooter [❄]
Loremaster [2]
Elementalist [1]
Rogue [4]",#33466f,17,"Dryholde, Kor'tarion",,"Vivian stands at a shorter height of 5'6"", a lean figure draped in lightweight hunting gear of mixed leather and cloth with a black mantle edged with black feathers over her shoulders. A feather pendant rests perpetually over her chest, tied with old leather. Pigment seems to be lost in a patch on the right side of her face and on other parts of her body, turning her right eye a smoky grey and interspersing her hair with locks of white with patches of skin a pallid white. Her unaffected eye is an inky black, and her hair is dark brown.",,"`Tuerlanu`
A meticulously carved bow of her mother's creation, crafted to fight against the threats of the night. 
*Quality: Dual Hunter (Undead/Demons)*
*Custom weapon - Elemental Weapon (Light), Powerful, Magic Defense Boost*

`Malbriseur`
A gifted bow from the Yubel, hunter of great evils no matter what form they take.
*Quality: World Saver*
*Custom weapon - Elemental Weapon (Light), Powerful, Magic Defense Boost*

Other: Caladrine Coercive Censer, Raven's Watchful Eye, Arrow of Verdant Enmity",,"Born to the Ashblancs in Dryholde, Vivian lived her life happily betrothed to Ronan Ashwynd. Hunters of the night, trained, tempered, ready to fight alongside the Ashwynds against the monsters that would bring ruin to the pockets of humanity across Kor'tarion. All that was changed when Ronan was cast out, Vivian nearly killed by a Moonshard monster as she pursued him, and left infused with ice magic as she was taken home. Sent to Hudal academy to deal with this new curse, she went for years, only for her life to be upended once again at the blood moon. Surviving and fighting off demons, she returned home- only to find Dryholde shattered, house empty, and her family missing.",Loyalty
Waylen Karson,413926319886303233,1361095511511138304,baff529f-6aef-45fb-b7de-ab6534e5802e,https://i.pinimg.com/736x/e5/b4/75/e5b47580910e946e40a6c1a6c00bf5b0.jpg,[Henshin!](https://discord.com/channels/1169852846083153941/1170111183869706362/1324991607879237662),[Hero Of Justice...](https://docs.google.com/spreadsheets/d/1dzn6JUKl6XCxoxAz_CBzeqo5rqaMOY2Jw8g4ENloL0c/edit?usp=sharing),"Gacha Coin Ace (Ace of Cards) 3
Rider (Pilot) 4
Lucky Fighter (Fury) 1",,8,"North Rock, Haven, Terra",Millenium,"Dark skin, black hair, golden eyes, and angular features, Waylen's looks apparently take after his mother. Standing at 6'1"", athletic, and about 55kg, he physically takes after his father. Clothes tend to fit him well, if a little loose, though they never hang off of his frame. He tends to wear casual clothes, but he has some fancier outfits if he needs them.

With his Driver activated, Millenium wears a suit of purple tech-armor over black and dark blue synth-fabric, and a helm with wolf-ish angles and fiery electronics. The Driver itself has three coin slots, arranged diagonally from his left side down to his right.",,,,"- Mother died before he could remember
- Father took care of him throughout his whole life
- After getting a job at a startup company, his father disappeared
- He searched for his father, to no avail
- However, that search made him realize that people were hurting, and turning to the gangs that only drag out their suffering
- He quit his job, stealing the prototype they had been working on
- He took up the mantle of Millenium to take on the gangs that make things worse, to help the people that need it, and eventually, to take on the corps that leave the gangs in charge",Justice
Web,319947219463569410,1353462274886733824,4335a3b2-58e5-4d7d-a622-de74011403b5,https://i.imgur.com/nBl8Jk9.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1336795004722614335,https://docs.google.com/spreadsheets/d/13qHHqSFzZhxv5Xkej9S4rWPp7eTZTgr32Btirk6P8-U/edit?usp=sharing,"Spiritist 4, Necromancer 3, Chimerist 2",,9,"Kor'Tarion - Fae Realm, Winter Court",,"A lithely built elf of average height, Web is often seen with a disinterest gaze on her face. Her violet eyes are often hidden under a snow white fringe, the rest of her long hair kept in a long single braid that reaches down to her waist.

Most of the time she can be seen wearing dark clothes, favouring blacks and dark purples or blues. While she wears different styles, she generally favours looser clothing, and universally abhors sleeves.",Outcast Fairy - Salt Allergy,,,"- Born in the Winter Court of Kor'Tarion's Fae Realm
- Skilled with healing magic at a young age
- Promised to heal a sick person and failed
- For breaking her word, was exiled from the Winter Court.",Discovery
Wen Tian,384371410576998401,1363155684593500416,89789b0a-f9dc-48e4-ad32-d1ee17446c8b,https://i.imgur.com/58gRZ8H.jpeg,https://discordapp.com/channels/1169852846083153941/1170111183869706362/1349567582570545254,https://docs.google.com/spreadsheets/d/12iMB28AxNmMdv0uO9IVpdxrkQkbGmbgMwD5CbndSZoM/edit?usp=sharing,"Daoist 5
Arcanist 2
Rogue 3",,10,"Xiaohai, Tian Yin",,"Wen Tian is a young man of average stature, standing at around 5'9'', with medium-ish length blue hair and a slightly tanned skin.",,,Lilith,"- grew up poor
- somehow didn't die
- got lucky, learned cultivation from a master 
- is here now :)",Ascension
Whispers,310000719233155072,1263852995939008768,102ea5a2-fa0f-405f-adbf-b5265b69603e,https://cdn.discordapp.com/attachments/1196744996410380298/1247569724930396201/2d295d465087176630710f9193d611ec.jpg?ex=66627b99&is=66612a19&hm=5e8d18620aee02d5586757a5598ab3ed04ac5a6ab131691c9c9db739e9d1ef82&,,https://docs.google.com/spreadsheets/d/1SUk5EBpy74SfHMa5NiINvOgKrV7pZRU6p4ZFHVHnz9A/edit?usp=drivesdk,Orator[3]/Wayfarer[1]/Guardian[1],,5,"Lastport, Kor'Tarion",,"Varies per account, with a constant of eyes veiled in one way or another, flowy clothing and  a broken mirror held in hand.","Heirloom: Mirrors - Once per session, the GM can grant 1 fabula point to disconnect Whisper's connection to its rumor, temporarily silencing it.",,,,Truth
Wilhelm Bergmann,206900071055228930,1365457279981453312,2667f597-4b12-45d5-a83a-844598dd56a7,https://i.imgur.com/noJHnic.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1362546836686114847,https://docs.google.com/spreadsheets/d/1IEbXjeydOWXnx_M1kifAnLdx1bqy6EcqCeAlypXDnNw/edit?usp=sharing,"Merchant 1
Pilot 3
Tinkerer 1",,5,"Constance, Lhodos",,"An older man with a mean expression and a large mustache. His face and upper body are marred with burn scars.

His attire is that of a common worker from Karlsgard and his equipment consists of a rugged revolver and an unusually intricate mining drill.",,,,"- Wilhelm had an unremarkable childhood, becoming a miner as soon as he was of working age.

- Became well-respected in his field due to his commitment to the job and his aptitude for technology, with him often being enlisted to repair mining equipment.

- Saved a fellow miner from a natural gas explosion, becoming burned in the process.

- Eventually became a foreman, assigned to a mine far from the city walls.

- The mine was attacked by Merrani saboteurs, and Wilhelm led one deep into the mine to protect his workers, triggering a cave-in to trap them both.

- Refusing to die, Wilhelm salvaged the Merrani mech and a mining rig to build his own mech, the Killborer.

- Burrowing back to the surface, Wilhelm vowed to enact revenge on the Merrani emperor, retiring as a foreman in order to join the good fight.",Retribution
Winter,224933184926646272,1236724967303811072,9a3a71c2-c2f3-41be-b960-31db116f30b4,https://media.discordapp.net/attachments/619597820588064770/1236651257075077140/token_1__1_-removebg-preview.png?ex=663b6bbb&is=663a1a3b&hm=62fd9f355d0ca9a93007841326b3a1fea1f60f6a46c62df5a8b0691d06db2192&,,https://docs.google.com/spreadsheets/d/14quyHeVOaOsJk04npxn4q-pLSkKrThd6TC3Hw4XNFU4/edit?usp=sharing,"Elementalist 1, Weapon Master 2, Fury 2",,5,"High Pass, Aldistir",,"A 5'6"" tall minotaur with fluffy legs and a cow's tail in a reddish brown matching her hair. Has large horns and a muscular build.",,,,,Forgiveness
Wyrt,306223332653793283,,f585a966-436b-4903-86ef-bef92ca497b3,https://media.discordapp.net/attachments/539242361780305951/1173779444704485446/71e4a59f5edca918497455237c438f25.png?ex=663b6e0b&is=663a1c8b&hm=727f1a6a266a5b77fcc434b2c3e958f2d10d530fd743d211fead21045b80ffd8&,,https://docs.google.com/spreadsheets/d/1xZw8otq2thls4emzaW86fMVKcq0xz_7OIhBZwJTgvkM/edit,"2 Floralist, 8 Dark Blade",,10,Nezmira's Blue Dragon Empire,,"A tall, thin figure in baggy clothes pulled up to obscure the neck and a wide brimmed hat pulled down to obscure the face. He compensates for the lack of facial expression with exaggerated movements.",Arboreal,"Runic Plate
Ten Gallon Jug
Anti-Air Air Crossbow
Feathered Spear",,.,Care
Xavi's Rolefill Template,181294303622987776,1287978578838949888,3aee1fcc-de8a-48bf-83e2-78ced735e3f5,https://i.imgur.com/cWx9bjv.png,,[this is still the only link it'll auto-adjust](https://docs.google.com/spreadsheets/d/1zthNumtrbbuLpVXmkcTVlYV3ycjK2I3IQJcwFIaUC10/edit?gid=1692081354#gid=1692081354),???,b00b69,???,Worldhelm,,I'll post the actual character signup when able I just want to make sure I'm included,,,,,Flexibility
Xentrithia Mira Dregravor,409390729627041792,,f147610b-aece-454b-a9b8-ead6231fa48b,https://i.pinimg.com/236x/f4/f8/40/f4f8407d9a08683be2dec8df76017d20.jpg,,"[I´ll soften the beaches for you, just tell me.](https://docs.google.com/spreadsheets/d/1XbOJP4cg0QbpJ5-vUm_cIp-VPaa0SRjQh0D6vQYVEXc/edit?gid=0#gid=0)","Mutant M
Guardian M
Necromancer M
Chimerist
Weaponmaster",,34,Kor´tarion,,"Physical Description
Definetly on the larger side with a size of 6 feet 10 inches, she is also on the heavier side not just because her height but the mutations her corruption she suffered which mainly also affected her height having tried to transform her into a large predator of the woods but having failed",,"Rare runic shield-Dual resistances
Rare steel plate - Energy thorns light
Acessory - Vitality up",,"- got moonscorched (Kor´tarion moon mutation)
- was part of the brightshield guard
- joined the guard early
- went MIA for 10 years due to mutations
- remembers little in regards to details
- Had a humble life before joining the guard.",Duty
Xi Jianghsi 汐将希,178906027914297344,1352018172877737984,a956cd75-34ce-4c76-acc4-253c46c27a9a,https://i.imgur.com/E52XKRL.png,,"[Together, we shall shape a better future.](https://docs.google.com/spreadsheets/d/1PCmjOZCkVjlgheD3SE78S9XhpQrubUM6-QqtM4tYdMM/edit?gid=0#gid=0)","- Tinkerer 3
- Arcanist 1
- Lightblade 1",#ffc800,5,"Shuanwu City, Wujing Guo, Tian Yin",,"A charismatic and young-looking cultivator. He is exceptionally well dressed in traditional Shuanwu City garbs, that elude to his connection with a cultivation sect within the city. He does not carry any weapons, always speaks softly, and with a big smile on his face.",Hunted Emissary (Auspicious Wisdom),,Li Jing 李靖 (Seraph),"- Mother Changli, director of the Dawning Grace heavenly cultivation sect, prayed for a holy child.
- Jianghsi is born as a vessel for a reincarnation of Tianlong, Li Jing's (Seraph's) dragon.
- Mother taught him everything she knew.
- Corrupt cultivator from a different sect killed his mother to hold back the competition.
- Jianghsi loses most of the influence his family name held, and is humbled by force.
- Learns about the precarious conditions in Shuanwu City and takes it upon himself to make things better.
- Joins a small rebel group hidden inside the city walls.
- Get's shunted into the Worldhelm in the middle of a scouting operation.",Hope
Xing Wei,413926319886303233,1364311864523100160,5c6fb0ca-6987-452a-a9e1-78cadc9a6080,https://i.imgur.com/scoIZHX.png,,[I've come a long way](https://docs.google.com/spreadsheets/d/1HJV0H8goPovEpstliOhdj0pBkRygA4CCfw-dex4mKqk/edit?usp=sharing),"Qi Manipulator (Elementalist) 2
Dao of Vengeance (Darkblade) ★
Body Cultivator (Necromancer) ★
Blade Master (Weaponmaster) 2
Daoist 1",,25,"Yotsuya Village, Stained Forests, Teisei, Tian Yin",The Vulture (TEMP Name),"5'10"", powerful, and a little intimidating with his facial scars, and demon-aesthetic arms and armor, though some of his muscles are partially hidden beneath the yellows, greys, and browns of his second-hand robes. He has olive green eyes and long, dark hair he ties up, but a decent amount still falls in his eyes. Recent events have quelled the rage within him.",Demonic Qi Specialist,"- Akuma no Migite: Hand of Fortune broadaxe
- Yubel's Guandao: World Saver custom heavy (light damage+powerful)/spear (M.Def up+powerful)
- Parasite Ring: Mindful accessory
- Axe of the Raging Demon: Punishing (shaken) broadaxe
- Challenger's Spear: Master of All Trades custom spear/arcane
- Warrior's Wrath: Retribution runic plate
- Sekiryu no Ha: Fast Hands broadaxe (earth damage)
- Yoroi no Gekido: Dissuade runic plate",Qilin (QiLink TEMP),"- Knew about his aptitude for demonic qi from an early age
- His qi aptitude cause him and his family to be shunned
- From Yotsuya Village, a small village near the Stained Forests
- Family killed by a tengu one night, while he could do nothing but hide
- First cultivated demonic qi from the aftermath of his parents' murder
- Learned by feel, fumbling his way through cultivation
- Stalked Teisei, following behind the yokai and corrupt cultivators, cultivating from the aftermath of their battles and killings
- If he could, he tried to help people in trouble, but more often than not, he would only end up getting hurt or coming too late.",Hunger
Yin Yue,59810251750252544,1360444845214400512,59c5c65c-7fce-4e27-a521-ccd242b653df,https://i.imgur.com/XYeh8SY.png,,https://docs.google.com/spreadsheets/d/16duSHyfEotBwhBfFDtImk-UVCBAEMvNxvPktJwVEWEE/edit?usp=sharing,"Chanter 3
Guardian 4",,7,"Xuanwu City, Wujing Guo",,"A woman with sun-kissed skin, her gaze is captivating. Light green horns emerge gracefully from her forehead, while two larger horns curve just past her temples. Her dark teal hair cascades around her, complementing the flowing attire of a traveling performer. Yet, it’s her eyes that demand attention. Expressive, enchanting, and filled with the allure of someone who knows the world is her stage.","BOON OF AUSPICIOUS WISDOM
You are one of the Bishi’e, a qilin-like people blessed by one of the sealed gods. 

>When you take the Study action, your check triggers a critical success if both dice show the same number (and the Check is not a fumble).


CURSE OF HEAVENLY ENMITY
When you Surrender and a villain is on the scene, they may choose to gain an Ultima Point instead of another Surrender consequence. This cannot take them above the maximum UP for their tier (for instance, this cannot bring a Minor villain above 5 Ultima Points). If this happens, all player characters in the game except you gain a fabula point.",,,"Raised in the **Jade Bloom Pavilion of Xuanwu City**, Yin Yue grew up in a sanctuary of music and culture, guided by her renowned mother, Yin Mei, who taught her to cultivate through song rather than rigid forms. As a Bishi’e, she possessed an innate talent for harmonizing with the Dao, shaping the elements and fortifying herself through melody.

Though sheltered within the **Pavilion’s Heavenly Blossom Theatre**, she could not ignore the corruption that tainted the city, where powerful sects practiced ruthless cultivation and mortals toiled in the blood mines. Yearning to restore harmony while forging her own legend, Yin Yue set out beyond her homeland, her voice not only a weapon but a promise. To bring balance back to a fractured world and leave behind a song that would be remembered for generations.",Glory
Yorick Medraut,247940619022893065,1325192187880673280,1c68b255-7a1d-4749-a1c3-701590da7171,https://media.discordapp.net/attachments/1170110564819816468/1177724082918264832/adwdad.png?ex=663b4746&is=6639f5c6&hm=bd2c6b82a7af834524fac9c237066fd0a1ff928f559eca24152a1f2206f84cf8&,,https://docs.google.com/spreadsheets/d/1GOTFEtnN6hZqyk8Be2O3lsq3f8n0HOgbaoxQLQWBQL8/edit?usp=sharing,"- Dancer [10]
- Fury [6]
- Darkblade [3]
- Weaponmaster [2]",,21,"Skuala, Nezmira",,"Yorick is a 6'4'' well built man, who wears simple gear and baggy pants. He's about 200 pounds, and is rarely seen without his bandalore.",Heirloom [Bandalore Dusk],"- Bandalore Dawn
- Demon's Lash
- Fox Garb",,,Vanity
Yorik,444194335492276225,1241572702385602560,ca6f3633-51af-42b3-b6ad-b7f3e0a792b9,https://media.discordapp.net/attachments/1170110980546637915/1241541009968463942/image.png?ex=664a92ab&is=6649412b&hm=2af0a5ab6f981762e1877afb94433f7aa81c229ca9a253f294455e60d77020b0&=&format=webp&quality=lossless,,https://docs.google.com/spreadsheets/d/1Bu_TWAhMy__ukkrAC4-V54Bno1mXyLWxro9b816Yx6w/edit#gid=0,"Mutant 2, Guardian 1, Weaponmaster 2",,5,"Twin Peaks, Aldistir",,"6'5 wall of muscle with gorgeous long blonde hair. He often wears furs and leathers of slain beasts, the most striking being one of a large bear-like beast. His skin is littered with tattoos",,,,,Harmony
Yoyoy,206900071055228930,,6ffe6d7a-bda2-43bd-828a-295b36c6b9f8,https://i.pinimg.com/1200x/80/3f/52/803f525be62ab4926e93eb3b3429cd10.jpg,https://discord.com/channels/1169852846083153941/1170111183869706362/1328565165943296000,https://docs.google.com/spreadsheets/d/1D370djmw-RzvVd7ajHoJP2CfWyS6D_Yp8rtTWYKZZHg/edit?usp=sharing,"Elementalist 10
Entropist 1
Spiritist 1
Chimerist 3",,15,"Amihan, Sangang-Daan, Tian Yin",,"Standing at 5'6"", Yoyoy's body is emaciated and his skin has an almost rotten pallor as his own poisonous Qi runs amok due to deviation. Less than a dozen hairs cling desperately to his scalp, and his facial features are sunken in. His eyes are clouded with a red haze that glows dimly.

His belongings are limited to a well-worn robe and a thick rope belt, as well as a wooden staff which doubles as a walking stick.",Qi Specialist (Wood),,,"An old cultivator from Sangang-Daan who suffered qi deviation when he and his disciples were captured by Defilers. His disciples sacrificed themselves to allow him to escape, wandering the deserts as a husk of his former self. On the brink of death by starvation and self-inflicted poison, Yoyoy was claimed by the Worldhelm.",Shame
